,,,,Lap #,Time,Velocity
1,0.08729168,38.463001,,,,
1,0.165351763,43.90674283,,,,
1,0.23722899,48.20427166,,,,
1,0.304522902,51.8301141,,,,
1,0.371086866,55.0174788,,,,
1,0.44051525,53.00183939,,,,
1,0.513321102,50.56088179,,,,
1,0.589730501,48.19760777,,,,
1,0.670003593,45.90326948,,,,
1,0.75442493,43.66840836,,,,
1,0.843231857,41.50191649,,,,
1,0.936441183,39.46242304,,,,
1,1.033282518,37.67781906,,,,
1,1.131335735,36.5693681,,,,
1,1.229131699,36.76014553,,,,
1,1.326510549,36.76221577,,,,
1,1.42096293,37.07510958,,,,
1,1.508823991,39.04991421,,,,
1,1.589017272,42.78609019,,,,
1,1.665547133,46.8747382,,,,
1,1.744367003,47.07799197,,,,
1,1.828304052,44.14515626,,,,
1,1.917026043,41.51659353,,,,
1,2.009276629,39.52523388,,,,
1,2.102395296,38.41678293,,,,
1,2.195053339,38.79858499,,,,
1,2.287171602,38.80055223,,,,
1,2.376593351,39.25343578,,,,
1,2.460742712,41.15426471,,,,
1,2.538775206,44.29137044,,,,
1,2.611931801,47.85207086,,,,
1,2.683933735,50.43307657,,,,
1,2.758858919,49.42787641,,,,
1,2.838518858,46.53721443,,,,
1,2.923276424,43.72392704,,,,
1,3.013138294,41.10835563,,,,
1,3.107480526,38.90554711,,,,
1,3.203367472,37.3083354,,,,
1,3.298784494,37.67781906,,,,
1,3.393601656,37.67781906,,,,
1,3.485703468,38.15420989,,,,
1,3.572555304,39.91381313,,,,
1,3.653045416,42.87311214,,,,
1,3.727484465,46.45698684,,,,
1,3.796882868,50.1345817,,,,
1,3.862349033,53.47301173,,,,
1,3.926626682,56.3575969,,,,
1,3.992418766,55.50374702,,,,
1,4.060034752,53.78278817,,,,
1,4.12898922,52.55634071,,,,
1,4.198502064,51.7181841,,,,
1,4.267891407,51.7181841,,,,
1,4.337155819,51.90325552,,,,
1,4.406293392,51.90474554,,,,
1,4.474927425,52.09340468,,,,
1,4.542581558,52.66781065,,,,
1,4.608781815,53.61122306,,,,
1,4.67299223,55.00108172,,,,
1,4.734787464,56.97764759,,,,
1,4.79530859,59.37748546,,,,
1,4.857199669,59.42700629,,,,
1,4.922047138,56.74783783,,,,
1,4.98999548,54.1306734,,,,
1,5.061002731,51.68813652,,,,
1,5.134676933,49.57162553,,,,
1,5.209537983,48.02335102,,,,
1,5.284203053,48.02335102,,,,
1,5.358672142,48.27631789,,,,
1,5.432203293,48.27631789,,,,
1,5.50278759,49.50786712,,,,
1,5.569498539,52.35876549,,,,
1,5.632793427,55.42302504,,,,
1,5.693287373,58.1751976,,,,
1,5.751424789,60.68301038,,,,
1,5.807540417,62.99293209,,,,
1,5.861896038,65.13848472,,,,
1,5.9147048,67.1425473,,,,
1,5.966142654,69.01246005,,,,
1,6.016352654,70.77116378,,,,
1,6.065452576,72.43121723,,,,
1,6.113541126,74.00835144,,,,
1,6.160700798,75.51282487,,,,
1,6.207004547,76.95181985,,,,
1,6.2525177,78.33013601,,,,
1,6.297296047,79.65173529,,,,
1,6.341391087,80.9207307,,,,
1,6.384848118,82.14034948,,,,
1,6.427707195,83.31452609,,,,
1,6.470003605,84.44958454,,,,
1,6.511770248,85.54564842,,,,
1,6.55303669,86.60542312,,,,
1,6.593828678,87.63276757,,,,
1,6.634166718,88.63398518,,,,
1,6.674071312,89.61328509,,,,
1,6.713560104,90.57169726,,,,
1,6.752649784,91.51018299,,,,
1,6.79135704,92.42962119,,,,
1,6.829741478,93.33030024,,,,
1,6.868361473,93.99046131,,,,
1,6.90781641,92.18610255,,,,
1,6.948208809,90.05247694,,,,
1,6.989563942,87.95617735,,,,
1,7.031902313,85.90821069,,,,
1,7.075237751,83.91919251,,,,
1,7.119577885,81.99999925,,,,
1,7.164922714,80.1596397,,,,
1,7.211261749,78.40834487,,,,
1,7.25857544,76.75638009,,,,
1,7.30683279,75.21222544,,,,
1,7.355992794,73.78391467,,,,
1,7.406003475,72.4776001,,,,
1,7.456819058,71.29503955,,,,
1,7.508485317,70.20066482,,,,
1,7.561242104,68.96577506,,,,
1,7.615485668,67.32347138,,,,
1,7.671645641,65.23105133,,,,
1,7.730108261,62.7995248,,,,
1,7.791187763,60.18817283,,,,
1,7.855126858,57.53061308,,,,
1,7.922093868,54.92327798,,,,
1,7.992146015,52.44545785,,,,
1,8.065138817,50.19537038,,,,
1,8.140646935,48.30942791,,,,
1,8.217579842,46.91490006,,,,
1,8.294514656,46.54541641,,,,
1,8.371147156,46.91295342,,,,
1,8.44758606,46.9145945,,,,
1,8.522927284,47.14996266,,,,
1,8.595912933,48.28527174,,,,
1,8.665966988,50.23017298,,,,
1,8.733097076,52.40736278,,,,
1,8.797440529,54.70052692,,,,
1,8.859178543,57.04580397,,,,
1,8.918514252,59.41804557,,,,
1,8.975698471,61.75983447,,,,
1,9.030997276,63.97804788,,,,
1,9.084644318,66.04681987,,,,
1,9.136833191,67.98070047,,,,
1,9.18874073,69.79077211,,,,
1,9.242013931,68.72871775,,,,
1,9.297311783,66.23977397,,,,
1,9.35474968,63.7866456,,,,
1,9.414434433,61.39590578,,,,
1,9.47647953,59.07264256,,,,
1,9.541000366,56.81480631,,,,
1,9.608115196,54.62406557,,,,
1,9.677913666,52.50957675,,,,
1,9.750426292,50.50333065,,,,
1,9.825557709,48.6554901,,,,
1,9.90299511,47.04546903,,,,
1,9.982117653,45.80645254,,,,
1,10.06172276,45.06748523,,,,
1,10.14116287,45.25561908,,,,
1,10.22027111,45.25561908,,,,
1,10.29786873,45.6347089,,,,
1,10.37249756,47.02490745,,,,
1,10.44341469,49.32169364,,,,
1,10.51058483,52.06747696,,,,
1,10.57437038,54.97717617,,,,
1,10.63529682,57.7460857,,,,
1,10.69382095,60.2681189,,,,
1,10.75028706,62.59034528,,,,
1,10.80496311,64.74668511,,,,
1,10.85806465,66.76004486,,,,
1,10.91009426,68.64312059,,,,
1,10.96249294,69.55042577,,,,
1,11.01662922,67.67232822,,,,
1,11.07292461,65.14384742,,,,
1,11.13159561,62.5783084,,,,
1,11.19289398,59.97182473,,,,
1,11.25708961,57.32807685,,,,
1,11.32444668,54.67523092,,,,
1,11.3951292,52.07308685,,,,
1,11.4690485,49.65175357,,,,
1,11.54570675,47.61931882,,,,
1,11.62325287,46.17593619,,,,
1,11.70049,46.54541641,,,,
1,11.77747726,46.54706779,,,,
1,11.85311604,46.84730673,,,,
1,11.92577171,48.21238781,,,,
1,11.99487114,50.74975035,,,,
1,12.06341934,53.30704621,,,,
1,12.1349535,51.58577492,,,,
1,12.21009159,48.92789932,,,,
1,12.28807545,46.76459004,,,,
1,12.36687946,45.43696888,,,,
1,12.44536686,45.80475652,,,,
1,12.52322769,45.80475652,,,,
1,12.60098934,46.54110428,,,,
1,12.68187904,45.92444561,,,,
1,12.76788807,42.96400333,,,,
1,12.85596371,40.63368484,,,,
1,12.94364071,41.00316849,,,,
1,13.03104305,41.0050293,,,,
1,13.1160965,41.26046809,,,,
1,13.19569397,43.27639589,,,,
1,13.26952744,47.05539792,,,,
1,13.34102345,50.32844217,,,,
1,13.41258144,50.24025293,,,,
1,13.48402596,50.24025293,,,,
1,13.55535889,50.39922497,,,,
1,13.62592506,50.39922497,,,,
1,13.69437408,51.49345551,,,,
1,13.76258659,53.55048588,,,,
1,13.83379078,51.85910768,,,,
1,13.90886784,49.12060279,,,,
1,13.98762798,46.64950835,,,,
1,14.06946278,44.64292579,,,,
1,14.15300083,43.22006697,,,,
1,14.23653412,42.85058332,,,,
1,14.31970501,43.22480482,,,,
1,14.40270805,43.22657637,,,,
1,14.4847002,43.39885902,,,,
1,14.56464291,44.29478649,,,,
1,14.64207935,45.6474908,,,,
1,14.71655464,47.20504189,,,,
1,14.78736973,49.33994809,,,,
1,14.85620594,52.19365827,,,,
1,14.92686176,52.26056152,,,,
1,15.00139713,49.50272415,,,,
1,15.07975006,46.96384411,,,,
1,15.16143417,44.80363504,,,,
1,15.24426174,43.22006697,,,,
1,15.32673836,43.58955062,,,,
1,15.40896225,43.58955062,,,,
1,15.48957539,43.85636712,,,,
1,15.56642151,45.33727834,,,,
1,15.63845539,48.22920717,,,,
1,15.70606995,51.58807862,,,,
1,15.77007866,54.75189826,,,,
1,15.83115482,57.57936144,,,,
1,15.88977718,60.14661707,,,,
1,15.94630623,62.50488545,,,,
1,16.00101852,64.69074415,,,,
1,16.05414009,66.72791674,,,,
1,16.10585594,68.62489017,,,,
1,16.15631294,70.40807279,,,,
1,16.20563507,72.09247467,,,,
1,16.25392342,73.68988551,,,,
1,16.30126381,75.21248637,,,,
1,16.34773445,76.66780976,,,,
1,16.39339828,78.0603738,,,,
1,16.43831825,79.39449749,,,,
1,16.48254395,80.67376511,,,,
1,16.52612495,81.90282526,,,,
1,16.56909943,83.08570166,,,,
1,16.6115036,84.22678885,,,,
1,16.65337181,85.33285715,,,,
1,16.69473457,86.40193588,,,,
1,16.73561478,87.4366343,,,,
1,16.77604294,88.44344807,,,,
1,16.81663895,89.41191959,,,,
1,16.85816002,87.70312121,,,,
1,16.90078926,85.46556502,,,,
1,16.94460106,83.20280209,,,,
1,16.98967743,80.91321194,,,,
1,17.03611565,78.59408233,,,,
1,17.0840168,76.24375157,,,,
1,17.13350487,73.8576054,,,,
1,17.18471909,71.43303459,,,,
1,17.23781776,68.96454596,,,,
1,17.29298401,66.44745661,,,,
1,17.35042763,63.8866623,,,,
1,17.41038704,61.28401698,,,,
1,17.47315025,58.63340951,,,,
1,17.53906441,55.92624653,,,,
1,17.60852814,53.15891972,,,,
1,17.68197441,50.35127999,,,,
1,17.75984192,47.54713527,,,,
1,17.84258461,44.79118617,,,,
1,17.93066597,42.10624645,,,,
1,18.02446175,39.52623638,,,,
1,18.12401962,37.13045659,,,,
1,18.22811317,35.09143349,,,,
1,18.33331108,33.98298597,,,,
1,18.43792152,34.36637418,,,,
1,18.54181099,34.36637418,,,,
1,18.64149284,34.84313924,,,,
1,18.73549461,37.28853943,,,,
1,18.8290062,39.20136062,,,,
1,18.9272995,37.68944052,,,,
1,19.03083992,35.46091714,,,,
1,19.13605881,33.98298597,,,,
1,19.2407093,34.35246619,,,,
1,19.34444046,34.35467718,,,,
1,19.44484329,34.96052463,,,,
1,19.53957558,36.65357137,,,,
1,19.62741852,39.24635647,,,,
1,19.70809174,42.60580469,,,,
1,19.78232765,46.52103021,,,,
1,19.85185051,50.33572404,,,,
1,19.92074966,53.08750521,,,,
1,19.99291801,51.26862392,,,,
1,20.06964684,48.3622412,,,,
1,20.15173721,45.34820972,,,,
1,20.24014091,42.2406263,,,,
1,20.335886,39.09280205,,,,
1,20.4399395,36.00401897,,,,
1,20.55321884,33.0974749,,,,
1,20.67702103,30.37589237,,,,
1,20.81315422,27.70176731,,,,
1,20.95843506,25.11538346,,,,
1,21.1037159,24.37641788,,,,
1,21.24685097,25.11538346,,,,
1,21.387537,25.11838582,,,,
1,21.51939583,25.98913574,,,,
1,21.63731384,28.5404801,,,,
1,21.74074364,32.43587531,,,,
1,21.83449745,37.08231592,,,,
1,21.92894173,39.60898397,,,,
1,22.03131104,36.52327362,,,,
1,22.14111519,33.71501934,,,,
1,22.251091,31.76608405,,,,
1,22.35804558,33.61350231,,,,
1,22.46406937,33.61350231,,,,
1,22.57267761,34.20404101,,,,
1,22.69210052,31.9986404,,,,
1,22.82693672,28.2093799,,,,
1,22.97008133,25.11538346,,,,
1,23.11092377,25.11538346,,,,
1,23.24953461,25.93541779,,,,
1,23.38261414,25.93832745,,,,
1,23.50056267,28.09086841,,,,
1,23.60170174,32.86903842,,,,
1,23.68989944,38.22336191,,,,
1,23.76895523,43.30075462,,,,
1,23.84162521,47.65049594,,,,
1,23.90961075,51.29238527,,,,
1,23.9739418,54.46707107,,,,
1,24.0352993,57.30377992,,,,
1,24.09417534,59.8790178,,,,
1,24.15093422,62.24427622,,,,
1,24.20585632,64.43632159,,,,
1,24.25916481,66.48226264,,,,
1,24.31104851,68.39549582,,,,
1,24.36166191,70.18717224,,,,
1,24.411129,71.87500048,,,,
1,24.45955658,73.47571408,,,,
1,24.50761223,75.00137738,,,,
1,24.55629158,74.61969891,,,,
1,24.60589981,73.0826373,,,,
1,24.65626717,71.86086246,,,,
1,24.70729065,70.89267934,,,,
1,24.75896454,70.02593427,,,,
1,24.81134605,69.11712534,,,,
1,24.86448288,68.15026057,,,,
1,24.91839409,67.16543318,,,,
1,24.97305489,66.20680128,,,,
1,25.02837181,65.33323097,,,,
1,25.08413887,64.65010163,,,,
1,25.14003563,64.28061798,,,,
1,25.19590187,64.35172006,,,,
1,25.2519722,64.35294229,,,,
1,25.30914497,63.88233644,,,,
1,25.36836815,61.88269586,,,,
1,25.43009949,59.52624709,,,,
1,25.49477577,56.94627479,,,,
1,25.56284523,54.2255231,,,,
1,25.63479996,51.40708931,,,,
1,25.71120453,48.51762896,,,,
1,25.79264069,45.58999801,,,,
1,25.87957573,42.7025152,,,,
1,25.97203255,40.00507855,,,,
1,26.06924629,37.76268494,,,,
1,26.16706085,36.19988445,,,,
1,26.26342392,37.3083354,,,,
1,26.3593235,37.3083354,,,,
1,26.45245171,37.668079,,,,
1,26.53966141,39.5382664,,,,
1,26.61976624,42.91025963,,,,
1,26.69379807,46.84783201,,,,
1,26.76627731,50.27550528,,,,
1,26.8416214,48.92937561,,,,
1,26.92057037,46.50263499,,,,
1,27.00247383,44.56923848,,,,
1,27.08601189,43.22006697,,,,
1,27.16958809,42.85058332,,,,
1,27.25284195,43.18123377,,,,
1,27.33549309,43.18300874,,,,
1,27.41585159,43.81258321,,,,
1,27.49217224,45.66277208,,,,
1,27.56378937,48.54788253,,,,
1,27.63188553,51.84971438,,,,
1,27.69889259,53.73923084,,,,
1,27.7658596,53.56560237,,,,
1,27.83267975,53.80327078,,,,
1,27.89887047,53.80327078,,,,
1,27.96306801,54.82434274,,,,
1,28.02457237,57.17630428,,,,
1,28.08360481,59.72837476,,,,
1,28.1405201,62.07573922,,,,
1,28.19560051,64.25355043,,,,
1,28.24907112,66.28592338,,,,
1,28.30111694,68.18602104,,,,
1,28.35188866,69.96682788,,,,
1,28.40151596,71.6465949,,,,
1,28.45009613,73.24150635,,,,
1,28.49772072,74.7622052,,,,
1,28.54446411,76.21610037,,,,
1,28.59039307,77.6081769,,,,
1,28.63556671,78.94252718,,,,
1,28.68003845,80.22395773,,,,
1,28.72385406,81.45678069,,,,
1,28.76705551,82.64412715,,,,
1,28.80968094,83.7887849,,,,
1,28.85176468,84.89386443,,,,
1,28.89333534,85.96212605,,,,
1,28.93442154,86.99740812,,,,
1,28.97504425,88.0060827,,,,
1,29.01522446,88.99250998,,,,
1,29.05497932,89.9577474,,,,
1,29.09432793,90.90277686,,,,
1,29.13328552,91.82849099,,,,
1,29.17186928,92.73523999,,,,
1,29.21009254,93.6217055,,,,
1,29.24797249,94.48720087,,,,
1,29.28562927,95.33270114,,,,
1,29.3235569,95.60146084,,,,
1,29.36226273,93.97418095,,,,
1,29.40190315,91.78907757,,,,
1,29.44252396,89.5991608,,,,
1,29.48417282,87.41120098,,,,
1,29.52689934,85.2280202,,,,
1,29.57075882,83.05269464,,,,
1,29.61580658,80.88647399,,,,
1,29.66210938,78.72792316,,,,
1,29.70976257,76.55788477,,,,
1,29.7589035,74.32658391,,,,
1,29.80970001,71.99352914,,,,
1,29.8623333,69.55561681,,,,
1,29.91697693,67.05030342,,,,
1,29.97377777,64.53354365,,,,
1,30.03286934,62.05180964,,,,
1,30.09438324,59.62688177,,,,
1,30.15851212,57.26036336,,,,
1,30.22563934,54.8624893,,,,
1,30.296381,52.2495752,,,,
1,30.37137032,49.39021394,,,,
1,30.45081139,46.49367428,,,,
1,30.53393936,44.01482075,,,,
1,30.61812592,42.48109967,,,,
1,30.70187378,42.92765922,,,,
1,30.7869606,42.92765922,,,,
1,30.87692642,41.57594712,,,,
1,30.97385979,38.34589027,,,,
1,31.07577324,35.83040079,,,,
1,31.17853165,34.72194984,,,,
1,31.28051949,35.24913867,,,,
1,31.38184738,35.25129817,,,,
1,31.48438644,35.70826382,,,,
1,31.59243011,34.41363252,,,,
1,31.70297432,32.13556771,,,,
1,31.81222153,32.90774803,,,,
1,31.91958809,32.90774803,,,,
1,32.02076721,34.06155532,,,,
1,32.11661148,37.00202309,,,,
1,32.21063995,38.01710406,,,,
1,32.30413437,38.4512525,,,,
1,32.39584351,38.45324377,,,,
1,32.48201752,39.95046624,,,,
1,32.56113434,43.48528015,,,,
1,32.63428116,47.39722694,,,,
1,32.70283508,50.89994021,,,,
1,32.76775742,53.98711654,,,,
1,32.82971191,56.76237753,,,,
1,32.88917542,59.29224535,,,,
1,32.94651031,61.62297927,,,,
1,33.00199127,63.78818368,,,,
1,33.05585098,65.8078537,,,,
1,33.10870361,67.69498063,,,,
1,33.16154861,68.34137447,,,,
1,33.21565247,67.72174605,,,,
1,33.27191544,65.17968342,,,,
1,33.33054733,62.60891216,,,,
1,33.39176178,60.02690053,,,,
1,33.45581818,57.43253271,,,,
1,33.52302551,54.81784021,,,,
1,33.59376907,52.16689629,,,,
1,33.66853333,49.46839876,,,,
1,33.74794388,46.70129855,,,,
1,33.83283234,43.8442959,,,,
1,33.92432404,40.85998928,,,,
1,34.02383041,37.72805057,,,,
1,34.13254166,34.5290438,,,,
1,34.250103,31.61145504,,,,
1,34.37078857,29.54918557,,,,
1,34.49049759,30.03000871,,,,
1,34.60933304,30.03253213,,,,
1,34.72138214,30.47425769,,,,
1,34.82328033,33.69466032,,,,
1,34.91925812,36.86850841,,,,
1,35.01420975,38.04730271,,,,
1,35.10939026,37.67781906,,,,
1,35.20433426,37.86481308,,,,
1,35.29878616,37.86481308,,,,
1,35.3913765,38.25967513,,,,
1,35.48094177,39.39735999,,,,
1,35.56752777,40.88189669,,,,
1,35.65224838,42.15910095,,,,
1,35.73628235,42.7108442,,,,
1,35.8198204,42.85058332,,,,
1,35.90300369,43.22006697,,,,
1,35.98598099,43.22006697,,,,
1,36.0676651,43.43340756,,,,
1,36.14627838,44.58716678,,,,
1,36.22141266,46.87643421,,,,
1,36.296875,48.82328553,,,,
1,36.37678909,46.4591944,,,,
1,36.46200943,43.51556806,,,,
1,36.55229187,40.85570119,,,,
1,36.64632416,38.78626658,,,,
1,36.74150085,37.67781906,,,,
1,36.83643341,37.86841796,,,,
1,36.93082428,37.87042983,,,,
1,37.02231598,38.30576274,,,,
1,37.10799408,40.28220158,,,,
1,37.1869545,43.63665103,,,,
1,37.2599678,47.42477171,,,,
1,37.32825851,51.05625836,,,,
1,37.39286804,54.22650157,,,,
1,37.45448303,57.06122945,,,,
1,37.51359558,59.63580129,,,,
1,37.5705719,62.00117644,,,,
1,37.62569809,64.19378486,,,,
1,37.67926788,66.23979457,,,,
1,37.7325592,67.97559183,,,,
1,37.7871933,66.95486663,,,,
1,37.84363174,64.64870088,,,,
1,37.90153503,62.74919373,,,,
1,37.96057892,61.42295272,,,,
1,38.02093887,60.35481469,,,,
1,38.08329773,58.76740141,,,,
1,38.1484108,56.5387922,,,,
1,38.21692276,53.8883461,,,,
1,38.28933334,51.06014134,,,,
1,38.36597061,48.23561014,,,,
1,38.44684219,45.58457008,,,,
1,38.53136826,43.32385336,,,,
1,38.61701584,41.7421358,,,,
1,38.70219421,42.2080553,,,,
1,38.78755569,42.2080553,,,,
1,38.87662125,42.02390399,,,,
1,38.97319031,38.70397905,,,,
1,39.07629776,35.75233613,,,,
1,39.18119049,33.98298597,,,,
1,39.2851944,34.56593037,,,,
1,39.38931274,34.56813107,,,,
1,39.49897003,34.48918406,,,,
1,39.61902618,31.08023217,,,,
1,39.73918915,28.81021827,,,,
1,39.85505676,31.02711675,,,,
1,39.96989059,31.02711675,,,,
1,40.07842255,31.58707571,,,,
1,40.17642593,34.66159375,,,,
1,40.270504,38.70756677,,,,
1,40.36854553,37.71867443,,,,
1,40.47184753,35.62067882,,,,
1,40.57649994,33.98298597,,,,
