,,,,,tRun,pBrakeTotal,rPedal,vCar
0.08729168,0,100,38.463001,,,,,
0.165351763,0,100,43.90674283,,,,,
0.23722899,0,100,48.20427166,,,,,
0.304522902,0,100,51.8301141,,,,,
0.371086866,0,100,55.0174788,,,,,
0.44051525,0.484764258,0,53.00183939,,,,,
0.513321102,0.50458668,0,50.56088179,,,,,
0.589730501,0.466716523,0,48.19760777,,,,,
0.670003593,0.432685156,0,45.90326948,,,,,
0.75442493,0.400493438,0,43.66840836,,,,,
0.843231857,0.364114648,0,41.50191649,,,,,
0.936441183,0.314621465,0,39.46242304,,,,,
1.033282518,0.225492246,0,37.67781906,,,,,
1.131335735,0.060492935,0,36.5693681,,,,,
1.229131699,0,100,36.76014553,,,,,
1.326510549,0,100,36.76221577,,,,,
1.42096293,0,100,37.07510958,,,,,
1.508823991,0,100,39.04991421,,,,,
1.589017272,0,100,42.78609019,,,,,
1.665547133,0,100,46.8747382,,,,,
1.744367003,0.24817207,0,47.07799197,,,,,
1.828304052,0.518184492,0,44.14515626,,,,,
1.917026043,0.404465781,0,41.51659353,,,,,
2.009276629,0.25439752,0,39.52523388,,,,,
2.102395296,0.046555439,0,38.41678293,,,,,
2.195053339,0,100,38.79858499,,,,,
2.287171602,0,100,38.80055223,,,,,
2.376593351,0,100,39.25343578,,,,,
2.460742712,0,100,41.15426471,,,,,
2.538775206,0,100,44.29137044,,,,,
2.611931801,0,100,47.85207086,,,,,
2.683933735,0,100,50.43307657,,,,,
2.758858919,0.387224453,0,49.42787641,,,,,
2.838518858,0.558122656,0,46.53721443,,,,,
2.923276424,0.500099297,0,43.72392704,,,,,
3.013138294,0.417500742,0,41.10835563,,,,,
3.107480526,0.309829004,0,38.90554711,,,,,
3.203367472,0.088037334,0,37.3083354,,,,,
3.298784494,0,100,37.67781906,,,,,
3.393601656,0,100,37.67781906,,,,,
3.485703468,0,100,38.15420989,,,,,
3.572555304,0,100,39.91381313,,,,,
3.653045416,0,100,42.87311214,,,,,
3.727484465,0,100,46.45698684,,,,,
3.796882868,0,100,50.1345817,,,,,
3.862349033,0,100,53.47301173,,,,,
3.926626682,0,100,56.3575969,,,,,
3.992418766,0.277419922,0,55.50374702,,,,,
4.060034752,0.317599766,0,53.78278817,,,,,
4.12898922,0.208866836,0,52.55634071,,,,,
4.198502064,0.067147896,0,51.7181841,,,,,
4.267891407,0,100,51.7181841,,,,,
4.337155819,0,100,51.90325552,,,,,
4.406293392,0,100,51.90474554,,,,,
4.474927425,0,100,52.09340468,,,,,
4.542581558,0,100,52.66781065,,,,,
4.608781815,0,100,53.61122306,,,,,
4.67299223,0,100,55.00108172,,,,,
4.734787464,0,100,56.97764759,,,,,
4.79530859,0,100,59.37748546,,,,,
4.857199669,0.296445039,0,59.42700629,,,,,
4.922047138,0.623586758,0,56.74783783,,,,,
4.98999548,0.568937734,0,54.1306734,,,,,
5.061002731,0.488702266,0,51.68813652,,,,,
5.134676933,0.37355207,0,49.57162553,,,,,
5.209537983,0.14074623,0,48.02335102,,,,,
5.284203053,0,100,48.02335102,,,,,
5.358672142,0,100,48.27631789,,,,,
5.432203293,0,100,48.27631789,,,,,
