30A,,20A,,15A,,10A,,5A,,3A,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.0231923601636481,140,17.21785764689264,146.89655172413794,-7.468128146022536,151.95402298850576,0.6174436656159514,155.86206896551727,0.4880745166298084,160.91954022988506,12.707578679964172,163.21839080459773
299.9306110928163,134.71264367816093,299.7424377852001,142.0689655172414,307.8162487651126,146.4367816091954,303.5999905913345,151.26436781609198,303.4823822740743,155.86206896551727,307.51634755609905,158.16091954022988
602.901397186809,130.57471264367817,598.5910523592228,139.08045977011494,598.4734440419626,143.67816091954023,602.4544855812202,148.04597701149427,602.330996848097,152.8735632183908,598.1559015853601,156.09195402298852
901.7382509291054,128.04597701149427,901.5265559580372,136.32183908045977,901.408947640777,140.91954022988506,901.2972197393798,145.2873563218391,901.1854918379826,149.6551724137931,901.1443289269415,151.26436781609198
1196.4588135672952,126.4367816091954,1204.4502987251253,134.02298850574715,1196.1589123582817,138.16091954022988,1200.1634755609912,141.60919540229887,1200.0458672437312,146.20689655172416,1191.8074046196543,148.27586206896552
,,1503.281272051559,131.72413793103448,1499.1179376205482,134.48275862068965,1507.2152702639128,137.93103448275863,1494.831114456414,142.0689655172414,1490.6618996095403,145.05747126436782
,,1802.1357670414445,128.5057471264368,1797.9665521945708,131.49425287356323,1793.7855765159707,134.9425287356322,1797.7783788869547,138.8505747126437,1793.6385661193954,140.6896551724138
,,2092.792962318295,125.74712643678163,2104.9948252340405,128.73563218390805,2100.849132050618,130.80459770114945,2096.650515124429,134.9425287356322,2100.690360822317,137.01149425287358
,,,,2403.866961471515,124.82758620689657,2403.808157312885,127.1264367816092,2387.337112480594,131.0344827586207,2403.66114691631,132.8735632183908
,,,,2694.6417650656253,117.4712643678161,2698.693371595239,119.08045977011496,3006.139154160982,100.00000000000001,2702.6450110551814,124.5977011494253
,,,,2985.6988286211595,99.08045977011494,3002.05226513619,99.77011494252875,,,3014.336453874018,99.54022988505749
