a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
33.75,329.5,-798.124999999999,816.749999999998,-295.874999999999,33.75,81.5,82.25,86,8.06103939825149,0.487239781927311
33.75,332.75,-815.499999999999,843.749999999998,-308.249999999999,33.75,81.5,82.25,86.5,8.05779358242276,0.487469728621547
33.75,326.25,-780.749999999999,789.749999999999,-283.5,33.75,81.5,82.25,85.5,8.05215509798558,0.487009835097852
32.5,337.625,-816.249999999999,833.624999999999,-301.499999999999,32.5,81.5,82.25,86,8.04744220278156,0.470688100986402
33.75,342.875,-866.124999999999,914.624999999998,-338.624999999999,33.75,81.5,81.5,86.5,8.04528316762935,0.488187547767069
33.75,339.625,-848.749999999999,887.624999999998,-326.249999999999,33.75,81.5,81.5,86,8.04397027237231,0.487957601489809
32.5,340.875,-833.624999999999,860.624999999998,-313.874999999999,32.5,81.5,82.25,86.5,8.04381110048669,0.470918057271275
33.75,309.25,-712.062499999999,705.374999999998,-250.312499999999,33.75,80.75,83,86,8.04359762674489,0.485797796252804
33.75,323,-763.374999999999,762.749999999999,-271.125,33.75,81.5,82.25,85,8.04206688804131,0.486779888132406
32.5,334.375,-798.874999999999,806.624999999999,-289.125,32.5,81.5,82.25,85.5,8.03858203431546,0.470458144459092
33.75,336.375,-831.374999999999,860.624999999999,-313.875,33.75,81.5,81.5,85.5,8.03484885611997,0.487727655079707
31.25,345.75,-834.374999999999,850.499999999999,-307.124999999999,31.25,81.5,82.25,86,8.03385167582887,0.454136960263705
32.5,351,-884.249999999999,931.499999999998,-344.249999999999,32.5,81.5,81.5,86.5,8.03140918992571,0.471635905661176
33.75,353,-916.749999999998,985.499999999998,-368.999999999999,33.75,81.5,80.75,86.5,8.03073970779626,0.488905365626978
32.5,347.75,-866.874999999999,904.499999999998,-331.874999999999,32.5,81.5,81.5,86,8.0303730298985,0.471405950127877
32.5,317.375,-730.187499999999,722.249999999998,-255.937499999999,32.5,80.75,83,86,8.03005050921567,0.469246052773525
31.25,349,-851.749999999999,877.499999999999,-319.499999999999,31.25,81.5,82.25,86.5,8.02991287303203,0.454366941545851
32.5,331.125,-781.499999999999,779.624999999999,-276.75,32.5,81.5,82.25,85,8.02849741260076,0.470228187688603
33.75,349.75,-899.374999999999,958.499999999998,-356.624999999999,33.75,81.5,80.75,86,8.02683494235221,0.488675419759264
33.75,319.375,-762.687499999999,776.249999999999,-280.687499999999,33.75,80.75,82.25,86,8.0266702987124,0.48651561847933
31.25,342.5,-816.999999999999,823.499999999999,-294.75,31.25,81.5,82.25,85.5,8.0250114098823,0.453906978635611
33.75,333.125,-813.999999999999,833.624999999999,-301.5,33.75,81.5,81.5,85,8.02472140338839,0.487497708535999
32.5,344.5,-849.499999999999,877.499999999999,-319.5,32.5,81.5,81.5,85.5,8.0212749203397,0.471175994354437
30,353.875,-852.499999999999,867.374999999998,-312.749999999999,30,81.5,82.25,86,8.02026860623501,0.437584041671327
33.75,322.625,-780.062499999999,803.249999999999,-293.062499999999,33.75,80.75,82.25,86.5,8.01893493258331,0.48674556560065
33.75,312.5,-729.437499999999,732.374999999999,-262.687499999999,33.75,80.75,83,86.5,8.01860395713223,0.486027743805986
33.75,316.125,-745.312499999999,749.249999999999,-268.3125,33.75,80.75,82.25,85.5,8.017998099876,0.486285671220394
31.25,359.125,-902.374999999999,948.374999999998,-349.874999999999,31.25,81.5,81.5,86.5,8.017579787147,0.45508486725905
33.75,346.5,-881.999999999999,931.499999999999,-344.25,33.75,81.5,80.75,85.5,8.01753323606042,0.48844547376109
32.5,361.125,-934.874999999998,1002.375,-374.624999999999,32.5,81.5,80.75,86.5,8.01693917110518,0.472353751721264
31.25,355.875,-884.999999999999,921.374999999998,-337.499999999999,31.25,81.5,81.5,86,8.01678036390624,0.454854887051536
31.25,325.5,-748.312499999999,739.124999999998,-261.562499999999,31.25,80.75,83,86,8.01660731294194,0.45269475323531
30,357.125,-869.874999999999,894.374999999998,-325.124999999999,30,81.5,82.25,86.5,8.0161148910049,0.437814062833924
