a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
35,194.166666666667,-208.333333333333,-66.6666666666671,133.333333333334,35,70,80,77.5,87.5,7.57023924816857,0.494748419533866
28.75,246.25,-354.166666666666,99.9999999999989,66.6666666666672,28.75,70,80,77.5,87.5,7.52161114779126,0.412789687730264
35,206.666666666667,-300,133.333333333333,3.12638803734444e-13,35,70,80,77.5,75,7.47888481714302,0.495622605438516
22.5,298.333333333333,-499.999999999999,266.666666666665,5.6843418860808e-13,22.5,70,80,77.5,87.5,7.47300120329795,0.330671755087283
28.75,258.75,-445.833333333333,299.999999999999,-66.6666666666662,28.75,70,80,77.5,75,7.43041092288382,0.413664406793785
16.25,350.416666666666,-645.833333333332,433.333333333331,-66.6666666666658,16.25,70,80,77.5,87.5,7.42436787227845,0.248179517075472
35,219.166666666667,-391.666666666666,333.333333333333,-133.333333333333,35,70,80,77.5,62.5,7.38287812088619,0.496496790581423
22.5,310.833333333333,-591.666666666666,466.666666666666,-133.333333333333,22.5,70,80,77.5,75,7.3819823996176,0.331548258611915
10,402.5,-791.666666666666,599.999999999999,-133.333333333333,10,70,80,77.5,87.5,7.3755211853032,0.166944371047878
28.75,271.25,-537.499999999999,499.999999999999,-199.999999999999,28.75,70,80,77.5,62.5,7.33438200851064,0.414539117697819
16.25,362.916666666666,-737.499999999999,633.333333333331,-199.999999999999,16.25,70,80,77.5,75,7.33360833148377,0.249058600971475
35,231.666666666667,-483.333333333333,533.333333333332,-266.666666666666,35,70,80,77.5,50,7.28643821079971,0.497370975006016
22.5,323.333333333333,-683.333333333332,666.666666666665,-266.666666666666,22.5,70,80,77.5,62.5,7.28594121982258,0.332424748582802
10,415,-883.333333333332,799.999999999998,-266.666666666666,10,70,80,77.5,75,7.28529517508602,0.167985272539895
28.75,408.75,-1395.83333333333,1900,-866.666666666665,28.75,70,67.5,77.5,75,7.26184245521825,0.424221790312226
28.75,283.75,-629.166666666666,699.999999999999,-333.333333333333,28.75,70,80,77.5,50,7.23791629678489,0.415413820477314
16.25,375.416666666666,-829.166666666665,833.333333333331,-333.333333333332,16.25,70,80,77.5,62.5,7.23756028001337,0.249937668922443
22.5,460.833333333333,-1541.66666666666,2066.66666666666,-933.333333333332,22.5,70,67.5,77.5,75,7.21330828226204,0.342126705865504
