a0,a1,a2,a3,a4,p0,p1,p2,p3,p4,v_final,maxSlip
32.3333333333333,490.111111111111,-1652.66666666666,2195.55555555555,-991.999999999998,32.3333333333333,82,76.6666666666667,82.6666666666667,73.3333333333333,8.02054839039581,0.479183649214003
31,501.222222222222,-1683.77777777778,2231.11111111111,-1006.22222222222,31,82,76.6666666666667,82.6666666666667,73.3333333333333,8.01018890053636,0.461703696902206
33.6666666666667,459.888888888889,-1485.55555555555,1879.11111111111,-807.111111111109,33.6666666666667,82,76.6666666666667,80.3333333333333,80,7.99642103875118,0.495326554004775
32.3333333333333,493.444444444444,-1677.11111111111,2248.88888888888,-1027.55555555555,32.3333333333333,82,76.6666666666667,82.6666666666667,70,7.99501060688217,0.479416758433784
32.3333333333333,471,-1516.66666666666,1914.66666666666,-821.333333333331,32.3333333333333,82,76.6666666666667,80.3333333333333,80,7.98606231936921,0.477845462004765
31,504.555555555555,-1708.22222222222,2284.44444444444,-1041.77777777778,31,82,76.6666666666667,82.6666666666667,70,7.98464910927055,0.461936830483265
33.6666666666667,368.333333333333,-1042,1242.66666666667,-522.666666666666,33.6666666666667,78,80,82.6666666666667,80,7.98243891019397,0.488829737954422
31,482.111111111111,-1547.77777777778,1950.22222222222,-835.555555555554,31,82,76.6666666666667,80.3333333333333,80,7.97570584564936,0.460365367676763
32.3333333333333,379.444444444444,-1073.11111111111,1278.22222222222,-536.888888888888,32.3333333333333,78,80,82.6666666666667,80,7.97209037724054,0.471348396940582
33.6666666666667,463.222222222222,-1510,1932.44444444444,-842.666666666665,33.6666666666667,82,76.6666666666667,80.3333333333333,76.6666666666667,7.97123875907331,0.495559657315738
31,390.555555555555,-1104.22222222222,1313.77777777778,-551.11111111111,31,78,80,82.6666666666667,80,7.96174360442456,0.45386756270271
32.3333333333333,474.333333333333,-1541.11111111111,1968,-856.888888888888,32.3333333333333,82,76.6666666666667,80.3333333333333,76.6666666666667,7.9608793908267,0.478078572554999
33.6666666666667,371.666666666666,-1066.44444444444,1296,-558.222222222222,33.6666666666667,78,80,82.6666666666667,76.6666666666667,7.95723881218847,0.489062844777917
31,485.444444444444,-1572.22222222222,2003.55555555555,-871.11111111111,31,82,76.6666666666667,80.3333333333333,76.6666666666667,7.95052233118972,0.460598503246124
32.3333333333333,382.777777777778,-1097.55555555555,1331.55555555555,-572.444444444444,32.3333333333333,78,80,82.6666666666667,76.6666666666667,7.9468901237478,0.47158151428428
33.6666666666667,466.555555555555,-1534.44444444444,1985.77777777777,-878.22222222222,33.6666666666667,82,76.6666666666667,80.3333333333333,73.3333333333333,7.94581355786071,0.495792760511793
31,393.888888888889,-1128.66666666667,1367.11111111111,-586.666666666666,31,78,80,82.6666666666667,76.6666666666667,7.93654331740016,0.454100708227591
32.3333333333333,477.666666666666,-1565.55555555555,2021.33333333333,-892.444444444443,32.3333333333333,82,76.6666666666667,80.3333333333333,73.3333333333333,7.93545302353175,0.478311682871526
33.6666666666667,375,-1090.88888888889,1349.33333333333,-593.777777777777,33.6666666666667,78,80,82.6666666666667,73.3333333333333,7.93180370069448,0.489295951464067
31,488.777777777777,-1596.66666666666,2056.88888888889,-906.666666666665,31,82,76.6666666666667,80.3333333333333,73.3333333333333,7.92509492737223,0.460831638467199
32.3333333333333,386.111111111111,-1122,1384.88888888889,-607.999999999999,32.3333333333333,78,80,82.6666666666667,73.3333333333333,7.92145414229127,0.471814631372626
33.6666666666667,469.888888888889,-1558.88888888889,2039.11111111111,-913.777777777776,33.6666666666667,82,76.6666666666667,80.3333333333333,70,7.9202595040222,0.496025863593735
33.6666666666667,411.666666666666,-1319.77777777778,1722.66666666666,-771.555555555554,33.6666666666667,78,76.6666666666667,82.6666666666667,76.6666666666667,7.91229108602961,0.491876478357221
33.6666666666667,447.444444444444,-1398.44444444444,1704.88888888889,-707.555555555554,33.6666666666667,82,76.6666666666667,78,80,7.91139877568937,0.494454610781576
31,397.222222222222,-1153.11111111111,1420.44444444444,-622.222222222222,31,78,80,82.6666666666667,73.3333333333333,7.91110659944156,0.454333853383467
