a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
20,390,-870,810,-270,20,80,80,80,7.66552538841774,0.302787273292809
17,409.5,-913.5,850.5,-283.5,17,80,80,80,7.63303238395548,0.262776669310004
14,429,-956.999999999999,890.999999999999,-297,14,80,80,80,7.60055358288086,0.22315281333616
11,448.5,-1000.5,931.499999999999,-310.499999999999,11,80,80,80,7.56809247912894,0.184367569147535
8,468,-1044,971.999999999999,-324,8,80,80,80,7.53564844478466,0.1454444483523
20,525,-1545,1755,-674.999999999999,20,80,70,80,7.43415726107929,0.312392602260224
17,544.5,-1588.5,1795.5,-688.499999999999,17,80,70,80,7.40159501833041,0.273179565501092
14,564,-1632,1836,-701.999999999999,14,80,70,80,7.36904601660855,0.234542087731746
11,583.5,-1675.5,1876.5,-715.499999999999,11,80,70,80,7.33650967247662,0.195778638225748
8,603,-1719,1917,-728.999999999999,8,80,70,80,7.30398711901012,0.158329811523746
20,460,-1197.5,1215,-427.5,20,80,70,70,7.21630922558762,0.307777347302179
20,255,-397.5,270,-67.5000000000001,20,70,80,80,7.21113459462274,0.293095410069675
17,479.5,-1241,1255.5,-441,17,80,70,70,7.18377606713869,0.26777397292763
17,274.5,-441,310.5,-81,17,70,80,80,7.17868547889487,0.253070718233637
14,499,-1284.5,1296,-454.499999999999,14,80,70,70,7.15125759592366,0.229071604807899
14,294,-484.5,351,-94.4999999999999,14,70,80,80,7.14625057434318,0.212931986824806
11,518.5,-1328,1336.5,-468,11,80,70,70,7.11875290847523,0.190297684219313
11,313.5,-528,391.5,-108,11,70,80,80,7.11382835139092,0.172836058447801
8,538,-1371.5,1377,-481.5,8,80,70,70,7.0862619050673,0.152040114748471
8,333,-571.5,432,-121.5,8,70,80,80,7.08142034002593,0.133891318690224
20,395,-850,675,-180,20,80,70,60,6.99798575449728,0.303161687169537
20,190,-50.0000000000012,-269.999999999998,179.999999999999,20,70,80,70,6.99346652938482,0.288478451869333
20,595,-1872.5,2160,-832.499999999999,20,80,60,70,6.98612081140316,0.317613361923465
20,390,-1072.5,1215,-472.5,20,70,70,80,6.97927986775661,0.302702510538406
17,414.5,-893.5,715.5,-193.5,17,80,70,60,6.9654710880168,0.263151616472676
17,209.5,-93.5000000000011,-229.499999999999,166.499999999999,17,70,80,70,6.96103436562988,0.248446983701172
17,614.5,-1916,2200.5,-845.999999999999,17,80,60,70,6.95351166655506,0.279086274614543
17,409.5,-1116,1255.5,-485.999999999999,17,70,70,80,6.94674060921183,0.262691832108131
14,434,-937,756,-207,14,80,70,60,6.93297231143683,0.223600324688725
14,229,-137.000000000001,-188.999999999999,152.999999999999,14,70,80,70,6.92861418859385,0.208301201112096
14,634,-1959.5,2241,-859.499999999999,14,80,60,70,6.92091906292623,0.240459091101806
14,429,-1159.5,1296,-499.499999999999,14,70,70,80,6.91421374069452,0.223036032399605
11,453.5,-980.5,796.5,-220.5,11,80,70,60,6.90048907084345,0.184815919926491
11,248.5,-180.500000000001,-148.499999999999,139.499999999999,11,70,80,70,6.89620888064899,0.168037913574872
11,653.5,-2003,2281.5,-872.999999999999,11,80,60,70,6.88834250179637,0.201706931008108
11,448.5,-1203,1336.5,-512.999999999999,11,70,70,80,6.88169684656993,0.184250646049569
8,473,-1024,837,-234,8,80,70,60,6.86802046197427,0.145893629920457
8,268,-224.000000000001,-107.999999999999,126,8,70,80,70,6.86382018730235,0.128396762829378
8,673,-2046.5,2322,-886.499999999999,8,80,60,70,6.85578120783659,0.165136945382148
8,468,-1246.5,1377,-526.499999999999,8,70,70,80,6.84919490734013,0.145327386713986
