a0,a1,a2,a3,a4,p1,p2,p3,p4,v_final,maxSlip
33,356.25,-908.812499999999,961.874999999999,-356.062499999999,33,82,81.25,86.25,8.0563263574525,0.478863440640207
34.6666666666667,315.041666666667,-753.020833333333,767.25,-277.6875,34.6666666666667,81,82.5,86.25,8.05520780226944,0.49877231757276
31.3333333333333,367.083333333333,-932.979166666666,984.374999999999,-363.562499999999,31.3333333333333,82,81.25,86.25,8.03814776869013,0.456795454070779
33,325.875,-777.1875,789.749999999999,-285.1875,33,81,82.5,86.25,8.03693947177193,0.476701490281463
34.6666666666667,306.916666666667,-709.583333333333,699.749999999999,-246.749999999999,34.6666666666667,81,82.5,85,8.03504898120339,0.498197442674079
34.6666666666667,331.916666666667,-837.395833333333,885.374999999999,-328.312499999999,34.6666666666667,81,81.25,86.25,8.0283723423359,0.4999687000822
33,373.125,-993.187499999999,1080,-406.687499999999,33,82,80,86.25,8.02824266892511,0.480059818471665
29.6666666666667,377.916666666667,-957.145833333333,1006.875,-371.062499999999,29.6666666666667,82,81.25,86.25,8.01998806771172,0.434724765257508
31.3333333333333,336.708333333333,-801.354166666666,812.249999999999,-292.687499999999,31.3333333333333,81,82.5,86.25,8.01871587344528,0.454633237534663
33,317.75,-733.749999999999,722.249999999999,-254.25,33,81,82.5,85,8.01695675299959,0.476126611643643
33,342.75,-861.562499999999,907.874999999999,-335.812499999999,33,81,81.25,86.25,8.010156965543,0.477897877699482
31.3333333333333,383.958333333333,-1017.35416666667,1102.5,-414.187499999999,31.3333333333333,82,80,86.25,8.01007500926919,0.457991974070985
34.6666666666667,301.541666666667,-705.770833333333,713.25,-257.4375,34.6666666666667,80,82.5,86.25,8.00769871560108,0.497806753724192
34.6666666666667,323.791666666667,-793.958333333333,817.874999999999,-297.374999999999,34.6666666666667,81,81.25,85,8.00613265677477,0.499393825905765
33,365,-949.749999999999,1012.5,-375.749999999999,33,82,80,85,8.00463910675889,0.479484947031302
28,388.75,-981.312499999999,1029.375,-378.562499999999,28,82,81.25,86.25,8.0018527524746,0.412646067020992
29.6666666666667,347.541666666667,-825.520833333333,834.749999999999,-300.1875,29.6666666666667,81,82.5,86.25,8.00055655603761,0.432562033739946
31.3333333333333,328.583333333333,-757.916666666666,744.749999999999,-261.75,31.3333333333333,81,82.5,85,7.99886753659037,0.45405828593995
31.3333333333333,353.583333333333,-885.729166666666,930.374999999999,-343.312499999999,31.3333333333333,81,81.25,86.25,7.99196170653437,0.455829773918399
29.6666666666667,394.791666666667,-1041.52083333333,1125,-421.687499999999,29.6666666666667,82,80,86.25,7.99191772476747,0.435921565614179
